x;y;size;color
735;228;15;JAUNE
730;244;15;JAUNE
714;193;15;JAUNE
733;239;15;JAUNE
715;227;15;JAUNE
760;248;15;JAUNE
745;235;15;JAUNE
712;258;15;JAUNE
722;246;15;JAUNE
680;222;15;JAUNE
714;182;15;JAUNE
697;242;15;JAUNE
687;217;15;JAUNE
731;226;15;JAUNE
681;229;15;JAUNE
691;226;15;JAUNE
714;224;15;JAUNE
721;187;15;JAUNE
752;241;15;JAUNE
758;218;15;JAUNE
743;265;15;JAUNE
729;243;15;JAUNE
722;241;15;JAUNE
712;258;15;JAUNE
693;217;15;JAUNE
703;231;15;JAUNE
701;247;15;JAUNE
741;226;15;JAUNE
761;250;15;JAUNE
707;220;15;JAUNE
743;234;15;JAUNE
713;233;15;JAUNE
759;229;15;JAUNE
729;189;15;JAUNE
713;221;15;JAUNE
721;253;15;JAUNE
736;242;15;JAUNE
692;220;15;JAUNE
710;238;15;JAUNE
721;238;15;JAUNE
708;249;15;JAUNE
738;245;15;JAUNE
679;240;15;JAUNE
712;261;15;JAUNE
720;238;15;JAUNE
726;243;15;JAUNE
728;171;15;JAUNE
679;216;15;JAUNE
716;249;15;JAUNE
722;185;15;JAUNE
700;177;15;JAUNE
718;176;15;JAUNE
750;229;15;JAUNE
707;171;15;JAUNE
705;167;15;JAUNE
725;167;15;JAUNE
702;169;15;JAUNE
738;223;15;JAUNE
705;217;15;JAUNE
729;249;15;JAUNE
685;228;15;JAUNE
710;212;15;JAUNE
696;223;15;JAUNE
690;217;15;JAUNE
710;184;15;JAUNE
686;219;15;JAUNE
707;208;15;JAUNE
716;181;15;JAUNE
701;167;15;JAUNE
742;177;15;JAUNE
744;238;15;JAUNE
718;220;15;JAUNE
707;212;15;JAUNE
725;246;15;JAUNE
760;214;15;JAUNE
715;241;15;JAUNE
748;174;15;JAUNE
702;225;15;JAUNE
753;241;15;JAUNE
728;172;15;JAUNE
712;251;15;JAUNE
717;224;15;JAUNE
743;220;15;JAUNE
733;181;15;JAUNE
698;215;15;JAUNE
742;219;15;JAUNE
721;236;15;JAUNE
710;237;15;JAUNE
689;232;15;JAUNE
721;234;15;JAUNE
724;245;15;JAUNE
759;227;15;JAUNE
708;208;15;JAUNE
714;229;15;JAUNE
704;229;15;JAUNE
705;180;15;JAUNE
701;174;15;JAUNE
725;204;15;JAUNE
749;231;15;JAUNE
706;249;15;JAUNE
718;213;15;JAUNE
734;234;15;JAUNE
718;217;15;JAUNE
713;188;15;JAUNE
767;211;15;JAUNE
706;184;15;JAUNE
722;233;15;JAUNE
705;231;15;JAUNE
700;218;15;JAUNE
738;174;15;JAUNE
717;235;15;JAUNE
711;169;15;JAUNE
736;221;15;JAUNE
746;218;15;JAUNE
716;253;15;JAUNE
749;175;15;JAUNE
722;190;15;JAUNE
747;237;15;JAUNE
728;207;15;JAUNE
751;228;15;JAUNE
704;179;15;JAUNE
691;226;15;JAUNE
722;213;15;JAUNE
732;180;15;JAUNE
744;223;15;JAUNE
744;240;15;JAUNE
720;227;15;JAUNE
735;226;15;JAUNE
693;230;15;JAUNE
714;253;15;JAUNE
705;231;15;JAUNE
716;177;15;JAUNE
703;210;15;JAUNE
694;173;15;JAUNE
717;201;15;JAUNE
760;218;15;JAUNE
719;229;15;JAUNE
699;181;15;JAUNE
730;228;15;JAUNE
718;219;15;JAUNE
709;190;15;JAUNE
737;242;15;JAUNE
731;233;15;JAUNE
713;252;15;JAUNE
730;172;15;JAUNE
725;201;15;JAUNE
725;181;15;JAUNE
706;178;15;JAUNE
754;230;15;JAUNE
730;218;15;JAUNE
721;208;15;JAUNE
738;226;15;JAUNE
710;175;15;JAUNE
755;218;15;JAUNE
715;203;15;JAUNE
705;237;15;JAUNE
712;211;15;JAUNE
685;217;15;JAUNE
702;233;15;JAUNE
706;186;15;JAUNE
751;174;15;JAUNE
721;167;15;JAUNE
725;164;15;JAUNE
719;197;15;JAUNE
721;195;15;JAUNE
710;178;15;JAUNE
756;223;15;JAUNE
762;220;15;JAUNE
698;214;15;JAUNE
735;165;15;JAUNE
757;233;15;JAUNE
724;226;15;JAUNE
721;185;15;JAUNE
743;221;15;JAUNE
732;180;15;JAUNE
733;225;15;JAUNE
710;211;15;JAUNE
732;216;15;JAUNE
711;215;15;JAUNE
719;199;15;JAUNE
694;231;15;JAUNE
739;236;15;JAUNE
715;195;15;JAUNE
705;247;15;JAUNE
748;232;15;JAUNE
759;227;15;JAUNE
714;200;15;JAUNE
689;221;15;JAUNE
738;223;15;JAUNE
704;214;15;JAUNE
735;179;15;JAUNE
702;180;15;JAUNE
725;208;15;JAUNE
691;235;15;JAUNE
753;227;15;JAUNE
719;236;15;JAUNE
730;173;15;JAUNE
711;220;15;JAUNE
706;171;15;JAUNE
753;235;15;JAUNE
727;173;15;JAUNE
708;185;15;JAUNE
708;238;15;JAUNE
728;249;15;JAUNE
751;229;15;JAUNE
707;164;15;JAUNE
738;176;15;JAUNE
730;244;15;JAUNE
742;234;15;JAUNE
724;242;15;JAUNE
678;217;15;JAUNE
703;245;15;JAUNE
704;176;15;JAUNE
680;222;15;JAUNE
718;250;15;JAUNE
713;206;15;JAUNE
747;227;15;JAUNE
696;241;15;JAUNE
698;231;15;JAUNE
712;250;15;JAUNE
717;240;15;JAUNE
680;224;15;JAUNE
712;246;15;JAUNE
716;201;15;JAUNE
756;225;15;JAUNE
714;222;15;JAUNE
734;229;15;JAUNE
700;244;15;JAUNE
708;165;15;JAUNE
730;239;15;JAUNE
719;202;15;JAUNE
720;226;15;JAUNE
690;223;15;JAUNE
728;253;15;JAUNE
727;194;15;JAUNE
722;173;15;JAUNE
722;167;15;JAUNE
738;248;15;JAUNE
722;233;15;JAUNE
699;232;15;JAUNE
739;226;15;JAUNE
721;231;15;JAUNE
696;178;15;JAUNE
730;175;15;JAUNE
730;251;15;JAUNE
719;173;15;JAUNE
702;219;15;JAUNE
733;178;15;JAUNE
699;231;15;JAUNE
726;199;15;JAUNE
739;223;15;JAUNE
723;229;15;JAUNE
732;178;15;JAUNE
695;170;15;JAUNE
706;234;15;JAUNE
715;207;15;JAUNE
703;230;15;JAUNE
708;231;15;JAUNE
743;167;15;JAUNE
696;218;15;JAUNE
716;185;15;JAUNE
706;223;15;JAUNE
721;230;15;JAUNE
712;182;15;JAUNE
713;160;15;JAUNE
712;154;15;JAUNE
727;218;15;JAUNE
722;215;15;JAUNE
746;163;15;JAUNE
696;153;15;JAUNE
716;183;15;JAUNE
697;160;15;JAUNE
731;213;15;JAUNE
684;221;15;JAUNE
703;183;15;JAUNE
731;155;15;JAUNE
757;175;15;JAUNE
706;183;15;JAUNE
711;199;15;JAUNE
733;169;15;JAUNE
724;170;15;JAUNE
717;179;15;JAUNE
732;183;15;JAUNE
723;153;15;JAUNE
732;177;15;JAUNE
725;231;15;JAUNE
733;165;15;JAUNE
701;226;15;JAUNE
726;181;15;JAUNE
721;171;15;JAUNE
711;206;15;JAUNE
694;157;15;JAUNE
706;233;15;JAUNE
705;187;15;JAUNE
725;196;15;JAUNE
720;186;15;JAUNE
754;163;15;JAUNE
732;220;15;JAUNE
744;230;15;JAUNE
691;224;15;JAUNE
696;163;15;JAUNE
727;204;15;JAUNE
710;221;15;JAUNE
701;178;15;JAUNE
716;192;15;JAUNE
727;225;15;JAUNE
746;217;15;JAUNE
703;170;15;JAUNE
695;222;15;JAUNE
750;158;15;JAUNE
712;208;15;JAUNE
701;229;15;JAUNE
689;159;15;JAUNE
723;155;15;JAUNE
682;171;15;JAUNE
736;234;15;JAUNE
706;233;15;JAUNE
728;209;15;JAUNE
700;227;15;JAUNE
686;173;15;JAUNE
710;178;15;JAUNE
702;173;15;JAUNE
720;192;15;JAUNE
697;217;15;JAUNE
701;221;15;JAUNE
704;215;15;JAUNE
716;186;15;JAUNE
731;236;15;JAUNE
708;174;15;JAUNE
701;150;15;JAUNE
728;206;15;JAUNE
732;224;15;JAUNE
718;218;15;JAUNE
719;229;15;JAUNE
714;153;15;JAUNE
707;217;15;JAUNE
711;176;15;JAUNE
740;219;15;JAUNE
709;197;15;JAUNE
718;195;15;JAUNE
702;181;15;JAUNE
696;227;15;JAUNE
691;171;15;JAUNE
712;234;15;JAUNE
694;156;15;JAUNE
731;179;15;JAUNE
749;165;15;JAUNE
723;215;15;JAUNE
684;164;15;JAUNE
705;210;15;JAUNE
733;166;15;JAUNE
711;185;15;JAUNE
733;230;15;JAUNE
746;218;15;JAUNE
723;229;15;JAUNE
722;148;15;JAUNE
713;169;15;JAUNE
753;172;15;JAUNE
713;228;15;JAUNE
736;219;15;JAUNE
731;172;15;JAUNE
732;225;15;JAUNE
728;199;15;JAUNE
732;163;15;JAUNE
709;192;15;JAUNE
731;183;15;JAUNE
725;215;15;JAUNE
695;223;15;JAUNE
688;176;15;JAUNE
710;197;15;JAUNE
702;230;15;JAUNE
708;224;15;JAUNE
727;171;15;JAUNE
725;202;15;JAUNE
753;173;15;JAUNE
735;163;15;JAUNE
720;214;15;JAUNE
714;199;15;JAUNE
714;191;15;JAUNE
710;230;15;JAUNE
718;222;15;JAUNE
705;225;15;JAUNE
749;168;15;JAUNE
703;212;15;JAUNE
720;164;15;JAUNE
684;163;15;JAUNE
712;196;15;JAUNE
676;180;15;JAUNE
708;236;15;JAUNE
694;229;15;JAUNE
682;219;15;JAUNE
735;234;15;JAUNE
713;162;15;JAUNE
709;170;15;JAUNE
700;171;15;JAUNE
749;170;15;JAUNE
691;172;15;JAUNE
687;217;15;JAUNE
755;219;15;JAUNE
692;171;15;JAUNE
762;179;15;JAUNE
694;170;15;JAUNE
691;227;15;JAUNE
692;162;15;JAUNE
724;237;15;JAUNE
704;167;15;JAUNE
725;174;15;JAUNE
696;163;15;JAUNE
698;165;15;JAUNE
727;192;15;JAUNE
704;155;15;JAUNE
762;175;15;JAUNE
728;229;15;JAUNE
695;164;15;JAUNE
744;164;15;JAUNE
731;211;15;JAUNE
710;211;15;JAUNE
713;219;15;JAUNE
711;147;15;JAUNE
708;196;15;JAUNE
720;194;15;JAUNE
723;210;15;JAUNE
731;289;15;NOIR
712;301;15;NOIR
708;303;15;NOIR
734;287;15;NOIR
709;304;15;NOIR
744;302;15;NOIR
728;315;15;NOIR
712;299;15;NOIR
715;295;15;NOIR
716;283;15;NOIR
740;303;15;NOIR
729;300;15;NOIR
726;286;15;NOIR
738;290;15;NOIR
721;308;15;NOIR
732;287;15;NOIR
733;289;15;NOIR
712;293;15;NOIR
725;279;15;NOIR
712;295;15;NOIR
716;297;15;NOIR
728;294;15;NOIR
732;313;15;NOIR
744;307;15;NOIR
742;299;15;NOIR
723;290;15;NOIR
727;289;15;NOIR
716;288;15;NOIR
717;295;15;NOIR
739;295;15;NOIR
746;300;15;NOIR
736;309;15;NOIR
712;296;15;NOIR
721;299;15;NOIR
730;283;15;NOIR
736;292;15;NOIR
714;288;15;NOIR
722;297;15;NOIR
722;296;15;NOIR
726;312;15;NOIR
722;297;15;NOIR
725;312;15;NOIR
726;301;15;NOIR
730;298;15;NOIR
738;302;15;NOIR
732;307;15;NOIR
730;317;15;NOIR
735;291;15;NOIR
707;299;15;NOIR
716;303;15;NOIR
718;282;15;NOIR
712;288;15;NOIR
732;310;15;NOIR
714;296;15;NOIR
744;300;15;NOIR
723;294;15;NOIR
721;280;15;NOIR
725;310;15;NOIR
711;306;15;NOIR
724;301;15;NOIR
734;280;15;NOIR
743;294;15;NOIR
708;293;15;NOIR
730;283;15;NOIR
715;285;15;NOIR
712;307;15;NOIR
728;289;15;NOIR
741;311;15;NOIR
734;288;15;NOIR
739;302;15;NOIR
745;299;15;NOIR
723;297;15;NOIR
715;296;15;NOIR
720;295;15;NOIR
712;308;15;NOIR
741;293;15;NOIR
718;282;15;NOIR
743;293;15;NOIR
713;311;15;NOIR
745;298;15;NOIR
725;303;15;NOIR
724;328;15;NOIR
725;302;15;NOIR
712;314;15;NOIR
718;332;15;NOIR
725;324;15;NOIR
699;324;15;NOIR
696;308;15;NOIR
706;330;15;NOIR
728;314;15;NOIR
732;319;15;NOIR
731;324;15;NOIR
717;307;15;NOIR
733;320;15;NOIR
717;305;15;NOIR
715;296;15;NOIR
704;315;15;NOIR
720;309;15;NOIR
728;304;15;NOIR
707;311;15;NOIR
703;314;15;NOIR
708;300;15;NOIR
728;329;15;NOIR
706;307;15;NOIR
726;326;15;NOIR
719;325;15;NOIR
717;321;15;NOIR
709;324;15;NOIR
713;325;15;NOIR
699;305;15;NOIR
719;312;15;NOIR
716;320;15;NOIR
695;323;15;NOIR
696;306;15;NOIR
707;332;15;NOIR
726;325;15;NOIR
700;326;15;NOIR
706;312;15;NOIR
707;307;15;NOIR
698;305;15;NOIR
703;306;15;NOIR
709;316;15;NOIR
721;310;15;NOIR
729;323;15;NOIR
711;321;15;NOIR
713;323;15;NOIR
712;327;15;NOIR
719;301;15;NOIR
710;322;15;NOIR
694;315;15;NOIR
724;301;15;NOIR
699;313;15;NOIR
705;310;15;NOIR
720;317;15;NOIR
704;326;15;NOIR
731;320;15;NOIR
718;331;15;NOIR
721;298;15;NOIR
724;299;15;NOIR
699;323;15;NOIR
708;312;15;NOIR
720;319;15;NOIR
719;306;15;NOIR
717;303;15;NOIR
720;330;15;NOIR
731;309;15;NOIR
709;303;15;NOIR
729;307;15;NOIR
699;318;15;NOIR
722;315;15;NOIR
726;309;15;NOIR
730;310;15;NOIR
700;305;15;NOIR
694;320;15;NOIR
703;319;15;NOIR
712;322;15;NOIR
713;325;15;NOIR
700;326;15;NOIR
706;312;15;NOIR
728;318;15;NOIR
708;334;15;NOIR
720;303;15;NOIR
731;313;15;NOIR
709;332;15;NOIR
701;314;15;NOIR
712;306;15;NOIR
710;333;15;NOIR
714;309;15;NOIR
713;333;15;NOIR
726;306;15;NOIR
717;310;15;NOIR
717;324;15;NOIR
706;323;15;NOIR
702;307;15;NOIR
698;305;15;NOIR
733;313;15;NOIR
712;314;15;NOIR
715;319;15;NOIR
713;300;15;NOIR
701;326;15;NOIR
